Latitude; Longitude ;Altitude
-22.92099487585689;-46.633308;852.4421997070312
-22.92109030246472;-46.62137965573152;804.8213500976562
-22.92137655362348;-46.60945489404384;830.743896484375
-22.92185354334732;-46.59753729648625;870.8432006835938
-22.922521128354024;-46.58563044254517;868.044677734375
-22.92337910810633;-46.57373790861335;814.4473266601562
-22.924427224869778;-46.561863266959854;802.2666015625
-22.925665163786963;-46.55001008470096;796.2501220703125
-22.927092552968425;-46.53818192277229;808.109130859375
-22.92870896359985;-46.526382334902536;857.1009521484375
-22.93051391006578;-46.51461486658877;835.4366455078125
-22.9325068500897;-46.502883054073855;867.3889770507812
-22.934687184890496;-46.491190423326;985.174072265625
-22.937054259355225;-46.47954048902085;1009.579833984375
-22.93960736222821;-46.467936753526224;826.2512817382812
-22.94234572631633;-46.45638270588993;842.0516967773438
-22.94526852871053;-46.44488182083068;844.7344360351562
-22.94837489102345;-46.433437557732525;841.00537109375
-22.95166387964316;-46.42205335964298;1046.672241210938
-22.95513450600284;-46.41073265227513;948.83447265625
-22.95878572686651;-46.39947884301389;841.0
-22.962616444630545;-46.38829531992676;841.0
-22.966625507641044;-46.377185450779216;843.7006225585938
-22.97081171052693;-46.3661525820551;841.0
-22.97517379454867;-46.35520003798211;886.66650390625
-22.979710447962542;-46.34433111956282;843.4530639648438
-22.98442030640044;-46.33354910361127;883.2801513671875
-22.98930195326493;-46.32285724179553;858.4051513671875
-22.994353920139737;-46.31225875968642;884.8228149414062
-22.99957468721526;-46.30175685581263;949.2779541015625
-23.00496268372927;-46.29135470072241;956.8877563476562
-23.010516288422483;-46.28105543605231;870.27587890625
-23.01623383000904;-46.27086217360289;890.1539916992188
-23.02211358766167;-46.26077799442192;836.6726684570312
-23.028153791511507;-46.25080594789505;834.5342407226562
-23.03435262316233;-46.24094905084458;834.56982421875
-23.040708216219222;-46.23121028663604;1030.603393554688
-23.047218656831408;-46.2215926042933;886.0319213867188
-23.05388198424917;-46.21209891762221;875.19482421875
-23.06069619139474;-46.202732104343006;853.0208129882812
-23.06765922544698;-46.19349500523183;869.352294921875
-23.07476898843969;-46.184390423271495;950.7306518554688
-23.082023337873448;-46.1754211228118;919.3355712890625
-23.08942008734078;-46.1665898287396;792.077392578125
-23.096957007164523;-46.15789922565887;714.4644775390625
-23.10463182504917;-46.149351957081024;703.38134765625
-23.11244222674516;-46.14095062462562;693.370361328125
-23.12038585672575;-46.13269778723191;656.111083984375
-23.12846031887648;-46.12459596038109;764.260009765625
-23.13666317719691;-46.11664761533002;726.520751953125
-23.14499195651456;-46.108855178356;749.4737548828125
-23.153444143210788;-46.10122103001339;641.2005004882812
-23.16201718595845;-46.09374750440198;618.0
-23.17070849647118;-46.086436888447466;619.97412109375
-23.179515450263978;-46.07929142119418;645.75830078125
-23.188435387425105;-46.072313293110334;715.6390991210938
-23.19746561339888;-46.06550464540609;712.0735473632812
-23.206603399779294;-46.05886756936442;610.0
-23.215845985114218;-46.05240410568531;634.0416870117188
-23.22519057571992;-46.04611624384327;705.3726196289062
-23.23463434650577;-46.040005921458416;620.3847045898438
-23.24417444180888;-46.03407502368147;563.4205322265625
-23.253807976238388;-46.02832538259272;590.541259765625
-23.263532035529305;-46.022758776615234;590.9820556640625
-23.273343677405503;-46.01737692994255;619.715576171875
-23.28323993245185;-46.01218151198096;577.0543212890625
-23.293217804994963;-46.007174136806725;587.2341918945312
-23.30327427399268;-46.00235636263828;565.1316528320312
-23.313406293931667;-45.99772969132374;574.4107666015625
-23.32361079573317;-45.99329556784385;615.9060668945312
-23.33388468766656;-45.98905537983056;645.92919921875
-23.344224856270387;-45.985010457101446;571.5650024414062
-23.3546281672808;-45.98116207121017;639.8341674804688
-23.365091466566938;-45.97751143501315;628.2325439453125
-23.37561158107315;-45.974059702252575;632.7293701171875
-23.38618531976771;-45.97080796715609;640.8236083984375
-23.396809474597795;-45.96775726405309;578.574462890625
-23.407480821450417;-45.96490856700809;599.1905517578125
-23.41819612111913;-45.96226278947106;673.8321533203125
-23.42895212027611;-45.9598207839451;682.2957153320312
-23.439745552449416;-45.95758334167148;707.4328002929688
-23.450573139005137;-45.95555119233229;732.3731689453125
-23.46143159013418;-45.95372500377084;807.2637329101562
-23.472317605843287;-45.952105381729865;693.0263671875
-23.48322787695017;-45.95069286960791;755.5565795898438
-23.49415908608234;-45.94948794823371;823.4204711914062
-23.5051079086794;-45.948491035659046;774.5360107421875
-23.51607101399849;-45.947702486969966;802.3185424804688
-23.52704506612261;-45.94712259411659;759.1976318359375
-23.53802672497154;-45.946751585761646;806.2713623046875
-23.5490126473149;-45.94658962714786;795.087890625
-23.55999948778737;-45.94663681998416;805.1988525390625
-23.570983899905407;-45.94689320235111;778.8218383789062
-23.58196253708544;-45.947358748625405;772.0
-23.59293205366301;-45.948033369423605;795.994140625
-23.60388910591277;-45.94891691156528;809.642822265625
-23.614830353068854;-45.95000915805561;859.8939819335938
-23.62575245834535;-45.95130982808739;853.2892456054688
-23.63665208995668;-45.95281857706285;889.551025390625
-23.6475259221374;-45.954534996635;861.80908203125
-23.658370636161216;-45.95645861476869;896.5977172851562
-23.6691829213589;-45.958588895821705;943.93017578125
-23.67995947613472;-45.9609252406454;832.8631591796875
