latitude;longitude;altitude (m);distance_m;name;obstrucao;angle 
-23.039414491;-46.268636612;846.4;69960;Line 35;1;213.981912183992
-23.039637842;-46.268802343;844.6;69930;Line 35;1;213.981912183992
-23.039861193;-46.268968074;843.8;69900;Line 35;1;213.981912183992
-23.040084543;-46.269133805;846.7;69870;Line 35;1;213.981912183992
-23.040307893;-46.269299538;854.5;69840;Line 35;1;213.981912183992
-23.040531243;-46.26946527;861.4;69810;Line 35;1;213.981912183992
-23.040754593;-46.269631004;867.3;69780;Line 35;1;213.981912183992
-23.040977943;-46.269796738;872.7;69750;Line 35;1;213.981912183992
-23.041201292;-46.269962472;878.3;69720;Line 35;1;213.981912183992
-23.041424641;-46.270128207;881.8;69690;Line 35;1;213.981912183992
-23.04164799;-46.270293942;883.5;69660;Line 35;1;213.981912183992
-23.041871339;-46.270459679;884.9;69630;Line 35;1;213.981912183992
-23.042094688;-46.270625415;886.8;69600;Line 35;1;213.981912183992
-23.042318036;-46.270791152;889.0;69570;Line 35;1;213.981912183992
-23.042541384;-46.27095689;890.7;69540;Line 35;1;213.981912183992
-23.042764732;-46.271122629;890.7;69510;Line 35;1;213.981912183992
-23.04298808;-46.271288367;890.6;69480;Line 35;1;213.981912183992
-23.043211427;-46.271454107;890.4;69450;Line 35;1;213.981912183992
-23.043434775;-46.271619847;889.3;69420;Line 35;1;213.981912183992
-23.043658122;-46.271785588;888.6;69390;Line 35;1;213.981912183992
-23.043881469;-46.271951329;889.4;69360;Line 35;1;213.981912183992
-23.044104815;-46.27211707;891.1;69330;Line 35;1;213.981912183992
-23.044328162;-46.272282813;893.2;69300;Line 35;1;213.981912183992
-23.044551508;-46.272448555;896.1;69270;Line 35;1;213.981912183992
-23.044774854;-46.272614299;900.8;69240;Line 35;1;213.981912183992
-23.0449982;-46.272780043;906.3;69210;Line 35;1;213.981912183992
-23.045221546;-46.272945787;915.7;69180;Line 35;1;213.981912183992
-23.045444891;-46.273111532;925.2;69150;Line 35;1;213.981912183992
-23.045668237;-46.273277278;934.6;69120;Line 35;1;213.981912183992
-23.045891582;-46.273443024;943.0;69090;Line 35;1;213.981912183992
-23.046114927;-46.27360877;952.3;69060;Line 35;1;213.981912183992
-23.046338271;-46.273774518;962.0;69030;Line 35;1;213.981912183992
-23.046561616;-46.273940266;972.1;69000;Line 35;1;213.981912183992
-23.04678496;-46.274106014;985.0;68970;Line 35;1;213.981912183992
-23.047008304;-46.274271763;1002.0;68940;Line 35;1;213.981912183992
-23.047231648;-46.274437512;1020.8;68910;Line 35;1;213.981912183992
-23.047454991;-46.274603262;1040.6;68880;Line 35;1;213.981912183992
-23.047678335;-46.274769013;1051.0;68850;Line 35;1;213.981912183992
-23.047901678;-46.274934764;1059.4;68820;Line 35;1;213.981912183992
-23.048125021;-46.275100516;1068.3;68790;Line 35;1;213.981912183992
-23.048348364;-46.275266268;1077.6;68760;Line 35;1;213.981912183992
-23.048571707;-46.275432021;1076.5;68730;Line 35;1;213.981912183992
-23.048795049;-46.275597774;1075.8;68700;Line 35;1;213.981912183992
-23.049018391;-46.275763528;1075.4;68670;Line 35;1;213.981912183992
-23.049241733;-46.275929283;1075.7;68640;Line 35;1;213.981912183992
-23.049465075;-46.276095038;1076.9;68610;Line 35;1;213.981912183992
-23.049688417;-46.276260793;1078.4;68580;Line 35;1;213.981912183992
-23.049911758;-46.276426549;1080.0;68550;Line 35;1;213.981912183992
-23.050135099;-46.276592306;1088.0;68520;Line 35;1;213.981912183992
-23.05035844;-46.276758063;1099.3;68490;Line 35;1;213.981912183992
