latitude;longitude;altitude (m);distance_m;name;obstrucao;angle 
-23.380652926;-45.999883937;633.3;69960;Line 74;0;253.00514111291
-23.380730326;-46.000165234;633.0;69930;Line 74;0;253.00514111291
-23.380807725;-46.000446531;632.3;69900;Line 74;0;253.00514111291
-23.380885124;-46.000727829;631.3;69870;Line 74;0;253.00514111291
-23.380962522;-46.001009127;632.5;69840;Line 74;0;253.00514111291
-23.381039919;-46.001290425;635.0;69810;Line 74;0;253.00514111291
-23.381117316;-46.001571724;637.4;69780;Line 74;0;253.00514111291
-23.381194713;-46.001853022;638.7;69750;Line 74;0;253.00514111291
-23.381272109;-46.002134322;638.9;69720;Line 74;0;253.00514111291
-23.381349504;-46.002415621;638.5;69690;Line 74;0;253.00514111291
-23.381426899;-46.002696921;638.1;69660;Line 74;0;253.00514111291
-23.381504294;-46.002978221;637.8;69630;Line 74;0;253.00514111291
-23.381581687;-46.003259521;637.3;69600;Line 74;0;253.00514111291
-23.381659081;-46.003540822;640.6;69570;Line 74;0;253.00514111291
-23.381736474;-46.003822123;646.5;69540;Line 74;0;253.00514111291
-23.381813866;-46.004103424;651.0;69510;Line 74;0;253.00514111291
-23.381891258;-46.004384726;659.2;69480;Line 74;0;253.00514111291
-23.381968649;-46.004666028;668.5;69450;Line 74;0;253.00514111291
-23.38204604;-46.00494733;677.3;69420;Line 74;0;253.00514111291
-23.38212343;-46.005228633;684.7;69390;Line 74;0;253.00514111291
-23.38220082;-46.005509936;692.1;69360;Line 74;0;253.00514111291
-23.382278209;-46.005791239;699.8;69330;Line 74;0;253.00514111291
-23.382355598;-46.006072542;695.9;69300;Line 74;0;253.00514111291
-23.382432986;-46.006353846;689.7;69270;Line 74;0;253.00514111291
-23.382510374;-46.00663515;683.6;69240;Line 74;0;253.00514111291
-23.382587761;-46.006916454;676.5;69210;Line 74;0;253.00514111291
-23.382665148;-46.007197759;669.3;69180;Line 74;0;253.00514111291
-23.382742534;-46.007479064;662.3;69150;Line 74;0;253.00514111291
-23.38281992;-46.00776037;661.9;69120;Line 74;0;253.00514111291
-23.382897305;-46.008041675;662.2;69090;Line 74;0;253.00514111291
-23.382974689;-46.008322981;662.6;69060;Line 74;0;253.00514111291
-23.383052073;-46.008604287;670.4;69030;Line 74;0;253.00514111291
-23.383129457;-46.008885594;678.1;69000;Line 74;0;253.00514111291
-23.38320684;-46.009166901;685.6;68970;Line 74;0;253.00514111291
-23.383284223;-46.009448208;694.5;68940;Line 74;0;253.00514111291
