latitude;longitude;altitude (m);distance_m;name;obstrucao;angle 
-23.158233906;-46.128319245;768.9;69960;Line 51;0;229.991020337296
-23.158406491;-46.128545143;771.0;69930;Line 51;0;229.991020337296
-23.158579076;-46.128771041;772.4;69900;Line 51;0;229.991020337296
-23.15875166;-46.128996939;774.4;69870;Line 51;0;229.991020337296
-23.158924244;-46.129222838;776.4;69840;Line 51;0;229.991020337296
-23.159096828;-46.129448738;776.9;69810;Line 51;0;229.991020337296
-23.159269411;-46.129674638;777.9;69780;Line 51;0;229.991020337296
-23.159441994;-46.129900538;780.7;69750;Line 51;0;229.991020337296
-23.159614577;-46.13012644;788.3;69720;Line 51;0;229.991020337296
-23.159787159;-46.130352342;798.2;69690;Line 51;0;229.991020337296
-23.159959741;-46.130578244;806.9;69660;Line 51;0;229.991020337296
-23.160132323;-46.130804147;815.6;69630;Line 51;0;229.991020337296
-23.160304904;-46.131030051;829.1;69600;Line 51;0;229.991020337296
-23.160477485;-46.131255955;842.0;69570;Line 51;0;229.991020337296
-23.160650066;-46.13148186;853.6;69540;Line 51;0;229.991020337296
-23.160822646;-46.131707765;865.0;69510;Line 51;0;229.991020337296
-23.160995226;-46.131933671;882.0;69480;Line 51;0;229.991020337296
-23.161167805;-46.132159577;897.5;69450;Line 51;0;229.991020337296
-23.161340384;-46.132385484;911.2;69420;Line 51;0;229.991020337296
-23.161512963;-46.132611392;921.2;69390;Line 51;0;229.991020337296
-23.161685542;-46.1328373;926.1;69360;Line 51;0;229.991020337296
-23.16185812;-46.133063209;924.1;69330;Line 51;0;229.991020337296
-23.162030698;-46.133289118;920.2;69300;Line 51;0;229.991020337296
-23.162203275;-46.133515028;917.2;69270;Line 51;0;229.991020337296
-23.162375852;-46.133740939;914.7;69240;Line 51;0;229.991020337296
-23.162548429;-46.13396685;913.2;69210;Line 51;0;229.991020337296
-23.162721005;-46.134192762;912.4;69180;Line 51;0;229.991020337296
-23.162893581;-46.134418674;904.5;69150;Line 51;0;229.991020337296
-23.163066157;-46.134644587;894.3;69120;Line 51;0;229.991020337296
-23.163238732;-46.1348705;881.9;69090;Line 51;0;229.991020337296
-23.163411307;-46.135096414;871.7;69060;Line 51;0;229.991020337296
-23.163583881;-46.135322328;864.5;69030;Line 51;0;229.991020337296
-23.163756456;-46.135548243;854.8;69000;Line 51;0;229.991020337296
-23.16392903;-46.135774159;842.4;68970;Line 51;0;229.991020337296
-23.164101603;-46.136000075;833.4;68940;Line 51;0;229.991020337296
-23.164274176;-46.136225992;828.3;68910;Line 51;0;229.991020337296
-23.164446749;-46.13645191;823.0;68880;Line 51;0;229.991020337296
-23.164619322;-46.136677828;815.8;68850;Line 51;0;229.991020337296
-23.164791894;-46.136903746;811.0;68820;Line 51;0;229.991020337296
-23.164964466;-46.137129665;805.2;68790;Line 51;0;229.991020337296
-23.165137037;-46.137355585;800.7;68760;Line 51;0;229.991020337296
-23.165309608;-46.137581505;796.6;68730;Line 51;0;229.991020337296
-23.165482179;-46.137807426;792.7;68700;Line 51;0;229.991020337296
-23.165654749;-46.138033347;787.3;68670;Line 51;0;229.991020337296
-23.165827319;-46.138259269;780.3;68640;Line 51;0;229.991020337296
-23.165999889;-46.138485192;774.0;68610;Line 51;0;229.991020337296
-23.166172458;-46.138711115;767.8;68580;Line 51;0;229.991020337296
-23.166345027;-46.138937039;761.7;68550;Line 51;0;229.991020337296
-23.166517596;-46.139162963;755.5;68520;Line 51;0;229.991020337296
-23.166690164;-46.139388888;751.3;68490;Line 51;0;229.991020337296
-23.166862732;-46.139614813;752.7;68460;Line 51;0;229.991020337296
-23.1670353;-46.139840739;751.8;68430;Line 51;0;229.991020337296
-23.167207867;-46.140066666;749.0;68400;Line 51;0;229.991020337296
-23.167380434;-46.140292593;744.7;68370;Line 51;0;229.991020337296
-23.167553;-46.140518521;740.7;68340;Line 51;0;229.991020337296
-23.167725567;-46.140744449;740.4;68310;Line 51;0;229.991020337296
-23.167898132;-46.140970378;739.8;68280;Line 51;0;229.991020337296
-23.168070698;-46.141196308;738.7;68250;Line 51;0;229.991020337296
-23.168243263;-46.141422238;736.3;68220;Line 51;0;229.991020337296
-23.168415828;-46.141648168;734.8;68190;Line 51;0;229.991020337296
-23.168588392;-46.141874099;736.9;68160;Line 51;0;229.991020337296
-23.168760956;-46.142100031;738.8;68130;Line 51;0;229.991020337296
-23.16893352;-46.142325963;740.5;68100;Line 51;0;229.991020337296
-23.169106083;-46.142551896;741.7;68070;Line 51;0;229.991020337296
-23.169278646;-46.14277783;743.4;68040;Line 51;0;229.991020337296
-23.169451209;-46.143003764;745.5;68010;Line 51;0;229.991020337296
-23.169623771;-46.143229698;747.5;67980;Line 51;0;229.991020337296
-23.169796333;-46.143455634;750.4;67950;Line 51;0;229.991020337296
-23.169968895;-46.143681569;753.7;67920;Line 51;0;229.991020337296
-23.170141456;-46.143907506;753.6;67890;Line 51;0;229.991020337296
-23.170314017;-46.144133443;751.3;67860;Line 51;0;229.991020337296
-23.170486578;-46.14435938;747.1;67830;Line 51;0;229.991020337296
-23.170659138;-46.144585318;742.9;67800;Line 51;0;229.991020337296
-23.170831698;-46.144811257;738.8;67770;Line 51;0;229.991020337296
-23.171004257;-46.145037196;738.0;67740;Line 51;0;229.991020337296
-23.171176816;-46.145263136;737.3;67710;Line 51;0;229.991020337296
-23.171349375;-46.145489076;736.9;67680;Line 51;0;229.991020337296
-23.171521934;-46.145715017;736.7;67650;Line 51;0;229.991020337296
-23.171694492;-46.145940959;736.5;67620;Line 51;0;229.991020337296
-23.17186705;-46.146166901;736.3;67590;Line 51;0;229.991020337296
-23.172039607;-46.146392844;735.8;67560;Line 51;0;229.991020337296
-23.172212164;-46.146618787;735.1;67530;Line 51;0;229.991020337296
-23.172384721;-46.146844731;734.2;67500;Line 51;0;229.991020337296
-23.172557277;-46.147070675;733.3;67470;Line 51;0;229.991020337296
-23.172729833;-46.14729662;732.6;67440;Line 51;0;229.991020337296
-23.172902389;-46.147522566;731.6;67410;Line 51;0;229.991020337296
-23.173074944;-46.147748512;729.8;67380;Line 51;0;229.991020337296
-23.173247499;-46.147974458;727.5;67350;Line 51;0;229.991020337296
-23.173420053;-46.148200406;724.7;67320;Line 51;0;229.991020337296
-23.173592608;-46.148426353;721.7;67290;Line 51;0;229.991020337296
-23.173765162;-46.148652302;718.2;67260;Line 51;0;229.991020337296
-23.173937715;-46.148878251;713.8;67230;Line 51;0;229.991020337296
-23.174110268;-46.1491042;708.5;67200;Line 51;0;229.991020337296
-23.174282821;-46.149330151;707.8;67170;Line 51;0;229.991020337296
-23.174455374;-46.149556101;708.5;67140;Line 51;0;229.991020337296
-23.174627926;-46.149782053;708.4;67110;Line 51;0;229.991020337296
-23.174800478;-46.150008004;707.5;67080;Line 51;0;229.991020337296
-23.174973029;-46.150233957;707.0;67050;Line 51;0;229.991020337296
-23.17514558;-46.15045991;706.8;67020;Line 51;0;229.991020337296
-23.175318131;-46.150685863;704.9;66990;Line 51;0;229.991020337296
-23.175490681;-46.150911818;703.3;66960;Line 51;0;229.991020337296
-23.175663231;-46.151137772;703.7;66930;Line 51;0;229.991020337296
-23.175835781;-46.151363728;701.2;66900;Line 51;0;229.991020337296
-23.17600833;-46.151589684;700.3;66870;Line 51;0;229.991020337296
-23.176180879;-46.15181564;700.1;66840;Line 51;0;229.991020337296
-23.176353428;-46.152041597;699.7;66810;Line 51;0;229.991020337296
-23.176525976;-46.152267555;697.9;66780;Line 51;0;229.991020337296
-23.176698524;-46.152493513;695.0;66750;Line 51;0;229.991020337296
-23.176871072;-46.152719472;695.5;66720;Line 51;0;229.991020337296
-23.177043619;-46.152945431;695.7;66690;Line 51;0;229.991020337296
-23.177216166;-46.153171391;695.4;66660;Line 51;0;229.991020337296
-23.177388712;-46.153397351;695.8;66630;Line 51;0;229.991020337296
-23.177561258;-46.153623312;698.1;66600;Line 51;0;229.991020337296
-23.177733804;-46.153849274;699.6;66570;Line 51;0;229.991020337296
-23.17790635;-46.154075236;699.8;66540;Line 51;0;229.991020337296
-23.178078895;-46.154301199;699.7;66510;Line 51;0;229.991020337296
-23.178251439;-46.154527162;699.4;66480;Line 51;0;229.991020337296
-23.178423984;-46.154753126;701.1;66450;Line 51;0;229.991020337296
-23.178596528;-46.154979091;705.6;66420;Line 51;0;229.991020337296
-23.178769072;-46.155205056;710.7;66390;Line 51;0;229.991020337296
-23.178941615;-46.155431022;716.5;66360;Line 51;0;229.991020337296
-23.179114158;-46.155656988;723.0;66330;Line 51;0;229.991020337296
-23.179286701;-46.155882955;726.7;66300;Line 51;0;229.991020337296
-23.179459243;-46.156108922;727.2;66270;Line 51;0;229.991020337296
-23.179631785;-46.15633489;726.6;66240;Line 51;0;229.991020337296
-23.179804326;-46.156560858;725.1;66210;Line 51;0;229.991020337296
-23.179976868;-46.156786828;723.4;66180;Line 51;0;229.991020337296
-23.180149409;-46.157012797;721.6;66150;Line 51;0;229.991020337296
-23.180321949;-46.157238767;718.9;66120;Line 51;0;229.991020337296
-23.180494489;-46.157464738;715.3;66090;Line 51;0;229.991020337296
-23.180667029;-46.15769071;711.9;66060;Line 51;0;229.991020337296
-23.180839569;-46.157916682;709.1;66030;Line 51;0;229.991020337296
-23.181012108;-46.158142654;714.0;66000;Line 51;0;229.991020337296
-23.181184647;-46.158368627;718.7;65970;Line 51;0;229.991020337296
-23.181357185;-46.158594601;723.9;65940;Line 51;0;229.991020337296
-23.181529723;-46.158820575;728.5;65910;Line 51;0;229.991020337296
-23.181702261;-46.15904655;733.1;65880;Line 51;0;229.991020337296
-23.181874798;-46.159272526;739.4;65850;Line 51;0;229.991020337296
-23.182047335;-46.159498502;744.7;65820;Line 51;0;229.991020337296
-23.182219872;-46.159724478;748.3;65790;Line 51;0;229.991020337296
-23.182392408;-46.159950455;750.2;65760;Line 51;0;229.991020337296
-23.182564944;-46.160176433;752.2;65730;Line 51;0;229.991020337296
-23.18273748;-46.160402411;752.8;65700;Line 51;0;229.991020337296
-23.182910015;-46.16062839;753.4;65670;Line 51;0;229.991020337296
-23.18308255;-46.16085437;754.3;65640;Line 51;0;229.991020337296
-23.183255084;-46.16108035;759.3;65610;Line 51;0;229.991020337296
-23.183427619;-46.16130633;765.3;65580;Line 51;0;229.991020337296
-23.183600153;-46.161532312;771.1;65550;Line 51;0;229.991020337296
-23.183772686;-46.161758293;775.6;65520;Line 51;0;229.991020337296
-23.183945219;-46.161984276;778.0;65490;Line 51;0;229.991020337296
-23.184117752;-46.162210259;779.5;65460;Line 51;0;229.991020337296
-23.184290284;-46.162436242;779.1;65430;Line 51;0;229.991020337296
-23.184462817;-46.162662226;775.1;65400;Line 51;0;229.991020337296
-23.184635348;-46.162888211;769.9;65370;Line 51;0;229.991020337296
-23.18480788;-46.163114196;764.4;65340;Line 51;0;229.991020337296
-23.184980411;-46.163340182;758.4;65310;Line 51;0;229.991020337296
-23.185152941;-46.163566168;750.2;65280;Line 51;0;229.991020337296
-23.185325472;-46.163792155;742.1;65250;Line 51;0;229.991020337296
