latitude;longitude;altitude (m);distance_m;name;obstrucao;angle
-23.356335366;-47.305583986;651.7;69960;Line 289;0;107.975686742748
-23.35642304;-47.305306472;649.4;69930;Line 289;0;107.975686742748
-23.356510714;-47.305028959;646.8;69900;Line 289;0;107.975686742748
-23.356598387;-47.304751445;644.8;69870;Line 289;0;107.975686742748
-23.35668606;-47.30447393;642.8;69840;Line 289;0;107.975686742748
-23.356773732;-47.304196416;641.4;69810;Line 289;0;107.975686742748
-23.356861404;-47.3039189;641.4;69780;Line 289;0;107.975686742748
-23.356949076;-47.303641385;641.6;69750;Line 289;0;107.975686742748
-23.357036747;-47.303363869;641.6;69720;Line 289;0;107.975686742748
-23.357124417;-47.303086352;641.8;69690;Line 289;0;107.975686742748
-23.357212087;-47.302808835;641.4;69660;Line 289;0;107.975686742748
-23.357299757;-47.302531318;640.4;69630;Line 289;0;107.975686742748
-23.357387426;-47.3022538;638.7;69600;Line 289;0;107.975686742748
-23.357475095;-47.301976282;636.4;69570;Line 289;0;107.975686742748
-23.357562763;-47.301698764;634.2;69540;Line 289;0;107.975686742748
-23.357650431;-47.301421245;633.8;69510;Line 289;0;107.975686742748
-23.357738098;-47.301143726;633.7;69480;Line 289;0;107.975686742748
-23.357825765;-47.300866206;633.8;69450;Line 289;0;107.975686742748
-23.357913431;-47.300588686;635.9;69420;Line 289;0;107.975686742748
-23.358001097;-47.300311165;638.5;69390;Line 289;0;107.975686742748
-23.358088763;-47.300033645;641.2;69360;Line 289;0;107.975686742748
-23.358176428;-47.299756123;643.9;69330;Line 289;0;107.975686742748
-23.358264092;-47.299478602;646.4;69300;Line 289;0;107.975686742748
-23.358351756;-47.299201079;648.9;69270;Line 289;0;107.975686742748
-23.35843942;-47.298923557;651.3;69240;Line 289;0;107.975686742748
-23.358527083;-47.298646034;653.5;69210;Line 289;0;107.975686742748
-23.358614746;-47.298368511;655.5;69180;Line 289;0;107.975686742748
-23.358702408;-47.298090987;655.2;69150;Line 289;0;107.975686742748
-23.35879007;-47.297813463;654.4;69120;Line 289;0;107.975686742748
-23.358877731;-47.297535938;653.5;69090;Line 289;0;107.975686742748
-23.358965392;-47.297258413;651.1;69060;Line 289;0;107.975686742748
-23.359053052;-47.296980888;648.4;69030;Line 289;0;107.975686742748
-23.359140712;-47.296703362;645.5;69000;Line 289;0;107.975686742748
-23.359228371;-47.296425836;642.6;68970;Line 289;0;107.975686742748
-23.35931603;-47.296148309;640.1;68940;Line 289;0;107.975686742748
-23.359403689;-47.295870782;637.9;68910;Line 289;0;107.975686742748
-23.359491347;-47.295593255;637.5;68880;Line 289;0;107.975686742748
-23.359579004;-47.295315727;637.7;68850;Line 289;0;107.975686742748
-23.359666661;-47.295038199;638.2;68820;Line 289;0;107.975686742748
-23.359754318;-47.29476067;638.9;68790;Line 289;0;107.975686742748
-23.359841974;-47.294483141;639.6;68760;Line 289;0;107.975686742748
-23.35992963;-47.294205612;640.3;68730;Line 289;0;107.975686742748
-23.360017285;-47.293928082;638.3;68700;Line 289;0;107.975686742748
-23.36010494;-47.293650552;635.7;68670;Line 289;0;107.975686742748
-23.360192594;-47.293373021;633.5;68640;Line 289;0;107.975686742748
-23.360280248;-47.29309549;632.0;68610;Line 289;0;107.975686742748
-23.360367901;-47.292817959;630.2;68580;Line 289;0;107.975686742748
-23.360455554;-47.292540427;628.0;68550;Line 289;0;107.975686742748
-23.360543207;-47.292262895;628.1;68520;Line 289;0;107.975686742748
-23.360630859;-47.291985362;627.9;68490;Line 289;0;107.975686742748
-23.36071851;-47.291707829;627.0;68460;Line 289;0;107.975686742748
-23.360806161;-47.291430295;626.9;68430;Line 289;0;107.975686742748
-23.360893812;-47.291152761;627.7;68400;Line 289;0;107.975686742748
-23.360981462;-47.290875227;629.3;68370;Line 289;0;107.975686742748
-23.361069111;-47.290597692;631.4;68340;Line 289;0;107.975686742748
-23.361156761;-47.290320157;633.2;68310;Line 289;0;107.975686742748
-23.361244409;-47.290042622;634.8;68280;Line 289;0;107.975686742748
-23.361332057;-47.289765086;635.3;68250;Line 289;0;107.975686742748
-23.361419705;-47.28948755;635.2;68220;Line 289;0;107.975686742748
-23.361507353;-47.289210013;634.7;68190;Line 289;0;107.975686742748
-23.361594999;-47.288932476;634.5;68160;Line 289;0;107.975686742748
