latitude;longitude;altitude (m);distance_m;name;obstrucao;angle 
-23.298086994;-46.033488178;623.2;69960;Line 66;0;245.000207129083
-23.298199748;-46.033754916;618.7;69930;Line 66;0;245.000207129083
-23.298312503;-46.034021654;614.7;69900;Line 66;0;245.000207129083
-23.298425257;-46.034288392;611.8;69870;Line 66;0;245.000207129083
-23.29853801;-46.034555132;609.0;69840;Line 66;0;245.000207129083
-23.298650763;-46.034821871;606.3;69810;Line 66;0;245.000207129083
-23.298763515;-46.035088611;604.1;69780;Line 66;0;245.000207129083
-23.298876267;-46.035355351;603.1;69750;Line 66;0;245.000207129083
-23.298989018;-46.035622092;602.2;69720;Line 66;0;245.000207129083
-23.299101769;-46.035888834;602.3;69690;Line 66;0;245.000207129083
-23.29921452;-46.036155575;605.0;69660;Line 66;0;245.000207129083
-23.29932727;-46.036422317;607.2;69630;Line 66;0;245.000207129083
-23.299440019;-46.03668906;609.3;69600;Line 66;0;245.000207129083
-23.299552768;-46.036955803;613.3;69570;Line 66;0;245.000207129083
-23.299665517;-46.037222546;618.2;69540;Line 66;0;245.000207129083
-23.299778265;-46.03748929;623.9;69510;Line 66;0;245.000207129083
-23.299891013;-46.037756035;629.2;69480;Line 66;0;245.000207129083
-23.30000376;-46.038022779;634.1;69450;Line 66;0;245.000207129083
-23.300116507;-46.038289525;636.9;69420;Line 66;0;245.000207129083
-23.300229253;-46.03855627;635.5;69390;Line 66;0;245.000207129083
-23.300341999;-46.038823016;633.8;69360;Line 66;0;245.000207129083
-23.300454744;-46.039089763;632.4;69330;Line 66;0;245.000207129083
-23.300567489;-46.03935651;628.9;69300;Line 66;0;245.000207129083
-23.300680233;-46.039623257;624.6;69270;Line 66;0;245.000207129083
-23.300792977;-46.039890005;620.6;69240;Line 66;0;245.000207129083
-23.30090572;-46.040156753;619.4;69210;Line 66;0;245.000207129083
-23.301018463;-46.040423502;620.4;69180;Line 66;0;245.000207129083
-23.301131206;-46.040690251;622.0;69150;Line 66;0;245.000207129083
-23.301243948;-46.040957;624.6;69120;Line 66;0;245.000207129083
-23.301356689;-46.04122375;628.3;69090;Line 66;0;245.000207129083
-23.30146943;-46.041490501;632.7;69060;Line 66;0;245.000207129083
-23.301582171;-46.041757252;635.7;69030;Line 66;0;245.000207129083
-23.301694911;-46.042024003;634.2;69000;Line 66;0;245.000207129083
-23.301807651;-46.042290755;631.6;68970;Line 66;0;245.000207129083
-23.30192039;-46.042557507;629.0;68940;Line 66;0;245.000207129083
-23.302033129;-46.042824259;626.4;68910;Line 66;0;245.000207129083
-23.302145867;-46.043091012;623.8;68880;Line 66;0;245.000207129083
-23.302258605;-46.043357766;621.8;68850;Line 66;0;245.000207129083
-23.302371342;-46.04362452;626.7;68820;Line 66;0;245.000207129083
-23.302484079;-46.043891274;632.0;68790;Line 66;0;245.000207129083
-23.302596815;-46.044158029;637.9;68760;Line 66;0;245.000207129083
-23.302709551;-46.044424784;640.3;68730;Line 66;0;245.000207129083
-23.302822286;-46.044691539;641.9;68700;Line 66;0;245.000207129083
-23.302935021;-46.044958295;643.0;68670;Line 66;0;245.000207129083
-23.303047756;-46.045225052;642.3;68640;Line 66;0;245.000207129083
-23.30316049;-46.045491809;641.6;68610;Line 66;0;245.000207129083
-23.303273223;-46.045758566;641.0;68580;Line 66;0;245.000207129083
-23.303385956;-46.046025324;639.2;68550;Line 66;0;245.000207129083
-23.303498689;-46.046292082;636.0;68520;Line 66;0;245.000207129083
-23.303611421;-46.046558841;632.7;68490;Line 66;0;245.000207129083
-23.303724152;-46.0468256;632.2;68460;Line 66;0;245.000207129083
-23.303836884;-46.047092359;634.5;68430;Line 66;0;245.000207129083
-23.303949614;-46.047359119;637.8;68400;Line 66;0;245.000207129083
-23.304062344;-46.04762588;641.4;68370;Line 66;0;245.000207129083
-23.304175074;-46.047892641;644.6;68340;Line 66;0;245.000207129083
-23.304287803;-46.048159402;645.8;68310;Line 66;0;245.000207129083
-23.304400532;-46.048426164;645.1;68280;Line 66;0;245.000207129083
-23.30451326;-46.048692926;641.1;68250;Line 66;0;245.000207129083
-23.304625988;-46.048959688;638.3;68220;Line 66;0;245.000207129083
-23.304738716;-46.049226451;636.0;68190;Line 66;0;245.000207129083
-23.304851443;-46.049493215;631.9;68160;Line 66;0;245.000207129083
-23.304964169;-46.049759979;628.3;68130;Line 66;0;245.000207129083
-23.305076895;-46.050026743;624.4;68100;Line 66;0;245.000207129083
-23.30518962;-46.050293508;622.3;68070;Line 66;0;245.000207129083
-23.305302345;-46.050560273;621.3;68040;Line 66;0;245.000207129083
-23.30541507;-46.050827038;621.5;68010;Line 66;0;245.000207129083
-23.305527794;-46.051093805;623.3;67980;Line 66;0;245.000207129083
-23.305640518;-46.051360571;625.6;67950;Line 66;0;245.000207129083
-23.305753241;-46.051627338;628.4;67920;Line 66;0;245.000207129083
-23.305865963;-46.051894105;629.4;67890;Line 66;0;245.000207129083
-23.305978686;-46.052160873;628.4;67860;Line 66;0;245.000207129083
-23.306091407;-46.052427641;627.7;67830;Line 66;0;245.000207129083
-23.306204129;-46.05269441;626.0;67800;Line 66;0;245.000207129083
-23.306316849;-46.052961179;623.5;67770;Line 66;0;245.000207129083
-23.30642957;-46.053227948;620.8;67740;Line 66;0;245.000207129083
-23.306542289;-46.053494718;616.9;67710;Line 66;0;245.000207129083
