type	latitude	longitude	altitude (m)	distance (km)	name	desc	angle 
W	-23.686231962	-45.984812386	770.9	0	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68617833	-45.985100772	775.4	30	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>30</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.686124697	-45.985389158	779.5	60	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>60</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.686071064	-45.985677543	783.2	90	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>90</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68601743	-45.985965928	787.2	120	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>120</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685963796	-45.986254313	792.0	150	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>150</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685910162	-45.986542698	796.7	180	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>180</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685856526	-45.986831083	801.2	210	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>210</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685802891	-45.987119467	805.8	240	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>240</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685749255	-45.987407851	810.2	270	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>270</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685695618	-45.987696235	811.5	300	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>300</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68564198	-45.987984618	811.6	330	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>330</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685588343	-45.988273001	811.9	360	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>360</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685534704	-45.988561384	815.7	390	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>390</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685481065	-45.988849767	820.6	420	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>420</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685427426	-45.98913815	825.8	450	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>450</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685373786	-45.989426532	833.3	480	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>480</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685320146	-45.989714914	840.8	510	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>510</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685266505	-45.990003295	848.0	540	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>540</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685212863	-45.990291677	853.1	570	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>570</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685159221	-45.990580058	857.5	600	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>600</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685105578	-45.990868439	860.8	630	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>630</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.685051935	-45.99115682	860.5	660	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>660</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684998292	-45.9914452	859.8	690	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>690</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684944647	-45.99173358	860.7	720	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>720</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684891003	-45.99202196	864.2	750	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>750</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684837358	-45.99231034	867.4	780	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>780</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684783712	-45.992598719	869.2	810	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>810</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684730065	-45.992887098	868.6	840	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>840</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684676419	-45.993175477	867.6	870	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>870</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684622771	-45.993463856	864.8	900	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>900</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684569123	-45.993752234	859.9	930	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>930</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684515475	-45.994040612	854.6	960	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>960</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684461826	-45.99432899	850.6	990	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>990</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684408177	-45.994617368	847.8	1020	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1020</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684354527	-45.994905745	845.0	1050	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1050</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684300876	-45.995194122	841.6	1080	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1080</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684247225	-45.995482499	838.3	1110	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1110</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684193573	-45.995770876	835.5	1140	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1140</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684139921	-45.996059252	833.5	1170	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1170</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684086269	-45.996347628	831.5	1200	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1200</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.684032615	-45.996636004	829.0	1230	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1230</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683978962	-45.996924379	825.8	1260	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1260</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683925307	-45.997212755	822.6	1290	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1290</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683871653	-45.99750113	819.4	1320	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1320</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683817997	-45.997789504	819.7	1350	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1350</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683764342	-45.998077879	820.0	1380	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1380</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683710685	-45.998366253	820.8	1410	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1410</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683657028	-45.998654627	827.1	1440	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1440</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683603371	-45.998943001	833.3	1470	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1470</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683549713	-45.999231374	839.7	1500	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1500</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683496054	-45.999519748	846.7	1530	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1530</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683442395	-45.999808121	853.2	1560	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1560</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683388736	-46.000096493	856.5	1590	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1590</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683335076	-46.000384866	854.2	1620	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1620</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683281415	-46.000673238	853.6	1650	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1650</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683227754	-46.00096161	852.5	1680	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1680</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683174093	-46.001249982	850.6	1710	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1710</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68312043	-46.001538353	848.3	1740	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1740</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683066768	-46.001826724	846.3	1770	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1770</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.683013104	-46.002115095	844.8	1800	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1800</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682959441	-46.002403466	843.4	1830	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1830</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682905776	-46.002691836	842.1	1860	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1860</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682852111	-46.002980207	840.6	1890	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1890</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682798446	-46.003268577	838.6	1920	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1920</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68274478	-46.003556946	838.2	1950	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1950</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682691114	-46.003845316	838.7	1980	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1980</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682637447	-46.004133685	839.6	2010	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2010</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682583779	-46.004422054	841.5	2040	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2040</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682530111	-46.004710422	843.7	2070	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2070</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682476443	-46.004998791	846.0	2100	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2100</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682422774	-46.005287159	846.2	2130	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2130</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682369104	-46.005575527	846.3	2160	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2160</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682315434	-46.005863894	846.5	2190	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2190</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682261763	-46.006152262	846.8	2220	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2220</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682208092	-46.006440629	846.6	2250	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2250</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682154421	-46.006728996	844.7	2280	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2280</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682100748	-46.007017362	838.7	2310	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2310</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.682047076	-46.007305728	832.6	2340	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2340</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681993402	-46.007594095	828.0	2370	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2370</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681939728	-46.00788246	826.8	2400	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2400</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681886054	-46.008170826	825.4	2430	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2430</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681832379	-46.008459191	823.8	2460	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2460</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681778704	-46.008747556	822.0	2490	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2490</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681725028	-46.009035921	820.3	2520	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2520</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681671351	-46.009324286	821.3	2550	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2550</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681617674	-46.00961265	825.8	2580	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2580</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681563997	-46.009901014	830.3	2610	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2610</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681510319	-46.010189378	831.9	2640	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2640</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68145664	-46.010477741	831.2	2670	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2670</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681402961	-46.010766104	829.8	2700	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2700</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681349281	-46.011054467	825.8	2730	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2730</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681295601	-46.01134283	820.8	2760	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2760</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68124192	-46.011631193	815.3	2790	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2790</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681188239	-46.011919555	813.8	2820	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2820</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681134557	-46.012207917	813.0	2850	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2850</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681080875	-46.012496279	812.2	2880	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2880</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.681027192	-46.01278464	807.8	2910	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2910</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.680973509	-46.013073001	804.1	2940	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2940</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.680919825	-46.013361362	801.0	2970	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>2970</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.680866141	-46.013649723	796.6	3000	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3000</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.680812456	-46.013938083	792.2	3030	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3030</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.68075877	-46.014226443	788.3	3060	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3060</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
W	-23.680705084	-46.014514803	785.0	3090	Line 102	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>3090</td></tr><tr><td><b>angle</b></td><td>281.021011945003</td></tr></table>	281.021011945003 
