type	latitude	longitude	altitude (m)	distance (km)	name	desc	angle 
W	-24.179575451	-46.52170755	0.0	0	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.179309859	-46.521765622	0.0	30	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>30</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.179044266	-46.521823692	0.0	60	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>60</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.178778674	-46.521881763	0.0	90	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>90</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.178513082	-46.521939834	0.0	120	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>120</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.17824749	-46.521997904	0.0	150	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>150</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.177981898	-46.522055974	0.0	180	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>180</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.177716306	-46.522114044	0.0	210	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>210</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.177450713	-46.522172113	0.0	240	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>240</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.177185121	-46.522230183	0.0	270	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>270</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.176919529	-46.522288252	0.0	300	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>300</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.176653937	-46.522346321	0.0	330	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>330</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.176388344	-46.52240439	0.0	360	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>360</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.176122752	-46.522462458	0.0	390	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>390</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.17585716	-46.522520527	0.0	420	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>420</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.175591567	-46.522578595	0.0	450	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>450</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.175325975	-46.522636663	0.0	480	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>480</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.175060382	-46.522694731	0.0	510	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>510</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.17479479	-46.522752798	0.0	540	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>540</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.174529197	-46.522810866	0.0	570	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>570</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.174263605	-46.522868933	0.0	600	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>600</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.173998013	-46.522927	0.0	630	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>630</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.17373242	-46.522985066	0.0	660	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>660</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.173466828	-46.523043133	0.0	690	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>690</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.173201235	-46.523101199	0.0	720	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>720</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.172935642	-46.523159265	0.0	750	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>750</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.17267005	-46.523217331	0.0	780	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>780</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.172404457	-46.523275397	0.0	810	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>810</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
W	-24.172138865	-46.523333462	0.0	840	Line 169	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>840</td></tr><tr><td><b>angle</b></td><td>348.034484882551</td></tr></table>	348.034484882551 
