type	latitude	longitude	altitude (m)	distance (km)	name	desc	angle
W	-23.155657498	-47.183270861	637.9		Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.155830957	-47.183045925	639.6	0.030	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>30</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.156004416	-47.182820988	640.3	0.060	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>60</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.156177874	-47.182596051	641.1	0.090	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>90</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.156351333	-47.182371113	642.0	0.120	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>120</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.156524791	-47.182146174	642.7	0.150	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>150</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.156698248	-47.181921235	643.4	0.180	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>180</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.156871706	-47.181696295	643.7	0.210	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>210</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.157045163	-47.181471355	644.4	0.240	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>240</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.157218620	-47.181246414	644.5	0.270	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>270</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
W	-23.157392076	-47.181021473	643.9	0.300	Line 310	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>300</td></tr><tr><td><b>angle</b></td><td>128.968060104202</td></tr></table>	128.968060104202
