type	latitude	longitude	altitude (m)	distance (km)	name	desc	angle 
W	-24.110581282	-46.319737825	0.0	0	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.110345325	-46.319882824	0.0	30	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>30</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.110109368	-46.320027823	0.0	60	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>60</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.109873411	-46.320172822	0.0	90	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>90</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.109637454	-46.32031782	0.0	120	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>120</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.109401497	-46.320462817	0.0	150	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>150</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.10916554	-46.320607814	0.0	180	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>180</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.108929582	-46.320752811	0.0	210	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>210</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.108693625	-46.320897807	0.0	240	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>240</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.108457667	-46.321042802	0.0	270	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>270</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.10822171	-46.321187797	0.0	300	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>300</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.107985752	-46.321332791	0.0	330	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>330</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.107749794	-46.321477785	0.0	360	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>360</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.107513836	-46.321622779	0.0	390	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>390</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.107277877	-46.321767771	0.0	420	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>420</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.107041919	-46.321912764	0.0	450	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>450</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.106805961	-46.322057756	0.0	480	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>480</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.106570002	-46.322202747	0.0	510	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>510</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.106334043	-46.322347738	0.0	540	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>540</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.106098084	-46.322492728	0.0	570	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>570</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.105862125	-46.322637718	0.0	600	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>600</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.105626166	-46.322782707	0.0	630	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>630</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.105390207	-46.322927696	0.0	660	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>660</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.105154248	-46.323072684	0.0	690	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>690</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.104918288	-46.323217671	0.0	720	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>720</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.104682329	-46.323362659	0.0	750	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>750</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.104446369	-46.323507645	0.0	780	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>780</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.104210409	-46.323652631	0.0	810	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>810</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.103974449	-46.323797617	0.0	840	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>840</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.103738489	-46.323942602	0.0	870	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>870</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.103502529	-46.324087587	0.0	900	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>900</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.103266569	-46.324232571	0.0	930	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>930</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.103030608	-46.324377554	0.0	960	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>960</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.102794648	-46.324522537	0.0	990	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>990</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.102558687	-46.32466752	0.0	1020	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1020</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.102322726	-46.324812502	0.0	1050	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1050</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.102086765	-46.324957483	0.0	1080	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1080</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.101850804	-46.325102464	0.0	1110	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1110</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.101614843	-46.325247445	0.0	1140	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1140</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.101378882	-46.325392425	0.0	1170	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1170</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.101142921	-46.325537404	0.0	1200	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1200</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.100906959	-46.325682383	0.0	1230	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1230</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.100670997	-46.325827361	0.0	1260	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1260</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.100435036	-46.325972339	0.0	1290	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1290</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.100199074	-46.326117317	0.0	1320	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1320</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.099963112	-46.326262293	0.0	1350	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1350</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.09972715	-46.32640727	0.0	1380	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1380</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.099491187	-46.326552246	0.0	1410	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1410</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
W	-24.099255225	-46.326697221	0.0	1440	Line 151	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>1440</td></tr><tr><td><b>angle</b></td><td>330.035329616001</td></tr></table>	330.035329616001 
