type	latitude	longitude	altitude (m)	distance (km)	name	desc	angle 
W	-22.930840072	-46.589813379	870.7	0	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td></td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.931109701	-46.589841866	871.5	30	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>30</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.93137933	-46.589870352	872.4	60	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>60</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.931648959	-46.589898838	873.3	90	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>90</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.931918587	-46.589927325	877.3	120	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>120</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.932188216	-46.589955811	881.4	150	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>150</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.932457845	-46.589984298	885.3	180	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>180</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.932727474	-46.590012785	888.6	210	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>210</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.932997103	-46.590041272	891.7	240	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>240</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.933266731	-46.590069759	894.9	270	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>270</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.93353636	-46.590098247	897.9	300	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>300</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.933805989	-46.590126734	900.8	330	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>330</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.934075617	-46.590155222	903.7	360	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>360</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.934345246	-46.59018371	905.4	390	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>390</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.934614875	-46.590212198	906.7	420	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>420</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.934884503	-46.590240686	907.9	450	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>450</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.935154132	-46.590269174	908.8	480	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>480</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.93542376	-46.590297663	909.3	510	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>510</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.935693389	-46.590326151	909.8	540	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>540</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
W	-22.935963017	-46.59035464	909.0	570	Line 6	<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>distance</b></td><td>570</td></tr><tr><td><b>angle</b></td><td>184.969397713258</td></tr></table>	184.969397713258 
