latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle
-23.003282174;-46.981217952;721.2;69960;259.5799999999999;981.78;Line 332;0;150.964628327495
-23.003520753;-46.981079413;723.5;69930;259.46868782161226;981.6686878216124;Line 332;0;150.964628327495
-23.003759331;-46.980940873;726.2;69900;259.35737564322466;981.5573756432248;Line 332;0;150.964628327495
-23.003997909;-46.980802332;729.3;69870;259.24606346483694;981.4460634648369;Line 332;0;150.964628327495
-23.004236487;-46.980663791;731.0;69840;259.13475128644933;981.3347512864493;Line 332;0;150.964628327495
-23.004475065;-46.98052525;730.2;69810;259.02343910806167;981.2234391080617;Line 332;0;150.964628327495
-23.004713643;-46.980386708;730.3;69780;258.912126929674;981.1121269296741;Line 332;0;150.964628327495
-23.004952221;-46.980248166;731.1;69750;258.8008147512864;981.0008147512865;Line 332;0;150.964628327495
-23.005190798;-46.980109623;730.6;69720;258.68950257289873;980.8895025728988;Line 332;0;150.964628327495
-23.005429376;-46.97997108;729.4;69690;258.57819039451107;980.7781903945111;Line 332;0;150.964628327495
-23.005667953;-46.979832536;727.4;69660;258.4668782161234;980.6668782161235;Line 332;0;150.964628327495
-23.005906531;-46.979693992;726.7;69630;258.3555660377358;980.5555660377358;Line 332;0;150.964628327495
-23.006145108;-46.979555448;727.3;69600;258.24425385934813;980.4442538593482;Line 332;0;150.964628327495
-23.006383685;-46.979416903;728.1;69570;258.13294168096047;980.3329416809605;Line 332;0;150.964628327495
-23.006622262;-46.979278357;729.1;69540;258.0216295025728;980.2216295025728;Line 332;0;150.964628327495
-23.006860839;-46.979139811;728.1;69510;257.91031732418514;980.1103173241852;Line 332;0;150.964628327495
-23.007099416;-46.979001265;726.8;69480;257.79900514579754;979.9990051457976;Line 332;0;150.964628327495
-23.007337993;-46.978862718;725.8;69450;257.6876929674099;979.88769296741;Line 332;0;150.964628327495
-23.00757657;-46.97872417;724.8;69420;257.5763807890222;979.7763807890223;Line 332;0;150.964628327495
-23.007815146;-46.978585623;722.9;69390;257.4650686106346;979.6650686106346;Line 332;0;150.964628327495
-23.008053723;-46.978447074;720.6;69360;257.3537564322469;979.5537564322469;Line 332;0;150.964628327495
-23.008292299;-46.978308526;717.8;69330;257.2424442538593;979.4424442538593;Line 332;0;150.964628327495
-23.008530876;-46.978169976;715.4;69300;257.13113207547167;979.3311320754717;Line 332;0;150.964628327495
-23.008769452;-46.978031427;713.1;69270;257.01981989708395;979.219819897084;Line 332;0;150.964628327495
-23.009008028;-46.977892877;710.7;69240;256.90850771869634;979.1085077186964;Line 332;0;150.964628327495
-23.009246604;-46.977754326;709.0;69210;256.7971955403087;978.9971955403087;Line 332;0;150.964628327495
-23.00948518;-46.977615775;708.6;69180;256.685883361921;978.8858833619211;Line 332;0;150.964628327495
