latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle 
-24.183547307;-46.545363593;0.0;69960;980.78;981.78;Line 171;0;350.034178017931
-24.183280012;-46.545411478;0.0;69930;980.3594253859347;981.3594253859347;Line 171;0;350.034178017931
-24.183012718;-46.545459362;0.0;69900;979.9388507718696;980.9388507718696;Line 171;0;350.034178017931
-24.182745424;-46.545507247;0.0;69870;979.5182761578044;980.5182761578044;Line 171;0;350.034178017931
-24.18247813;-46.545555131;0.0;69840;979.0977015437393;980.0977015437393;Line 171;0;350.034178017931
-24.182210836;-46.545603015;0.0;69810;978.677126929674;979.677126929674;Line 171;0;350.034178017931
-24.181943541;-46.545650899;0.0;69780;978.2565523156088;979.2565523156088;Line 171;0;350.034178017931
-24.181676247;-46.545698783;0.0;69750;977.8359777015437;978.8359777015437;Line 171;0;350.034178017931
-24.181408953;-46.545746666;0.0;69720;977.4154030874785;978.4154030874785;Line 171;0;350.034178017931
-24.181141658;-46.54579455;0.0;69690;976.9948284734135;977.9948284734135;Line 171;0;350.034178017931
-24.180874364;-46.545842433;0.0;69660;976.5742538593481;977.5742538593481;Line 171;0;350.034178017931
-24.18060707;-46.545890316;0.0;69630;976.1536792452829;977.1536792452829;Line 171;0;350.034178017931
-24.180339775;-46.545938199;0.0;69600;975.7331046312179;976.7331046312179;Line 171;0;350.034178017931
-24.180072481;-46.545986082;0.0;69570;975.3125300171525;976.3125300171525;Line 171;0;350.034178017931
-24.179805187;-46.546033965;0.0;69540;974.8919554030875;975.8919554030875;Line 171;0;350.034178017931
-24.179537892;-46.546081847;0.0;69510;974.4713807890223;975.4713807890223;Line 171;0;350.034178017931
-24.179270598;-46.546129729;0.0;69480;974.050806174957;975.050806174957;Line 171;0;350.034178017931
-24.179003303;-46.546177611;0.0;69450;973.630231560892;974.630231560892;Line 171;0;350.034178017931
-24.178736009;-46.546225493;0.0;69420;973.2096569468267;974.2096569468267;Line 171;0;350.034178017931
-24.178468715;-46.546273375;0.0;69390;972.7890823327616;973.7890823327616;Line 171;0;350.034178017931
-24.17820142;-46.546321257;0.0;69360;972.3685077186964;973.3685077186964;Line 171;0;350.034178017931
-24.177934126;-46.546369138;0.0;69330;971.947933104631;972.947933104631;Line 171;0;350.034178017931
-24.177666831;-46.546417019;0.0;69300;971.527358490566;972.527358490566;Line 171;0;350.034178017931
