latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle 
-23.058865181;-46.239698052;1110.6;69960;129.81999999999994;1110.6;Line 38;0;216.983533046559
-23.059080226;-46.239876175;1117.2;69930;129.76433104631212;1110.544331046312;Line 38;0;216.983533046559
-23.059295272;-46.240054299;1124.0;69900;129.7086620926243;1110.4886620926243;Line 38;0;216.983533046559
-23.059510317;-46.240232424;1130.7;69870;129.65299313893647;1110.4329931389364;Line 38;0;216.983533046559
-23.059725362;-46.240410549;1137.2;69840;129.59732418524865;1110.3773241852487;Line 38;0;216.983533046559
-23.059940407;-46.240588674;1143.6;69810;129.54165523156084;1110.3216552315607;Line 38;0;216.983533046559
-23.060155451;-46.2407668;1148.7;69780;129.48598627787302;1110.265986277873;Line 38;0;216.983533046559
-23.060370495;-46.240944927;1153.7;69750;129.43031732418518;1110.210317324185;Line 38;0;216.983533046559
-23.060585539;-46.241123055;1158.4;69720;129.37464837049734;1110.1546483704974;Line 38;0;216.983533046559
-23.060800583;-46.241301182;1162.8;69690;129.31897941680953;1110.0989794168095;Line 38;0;216.983533046559
-23.061015627;-46.241479311;1164.8;69660;129.2633104631217;1110.0433104631218;Line 38;0;216.983533046559
-23.06123067;-46.24165744;1168.0;69630;129.2076415094339;1109.9876415094338;Line 38;0;216.983533046559
-23.061445713;-46.241835569;1174.4;69600;129.15197255574608;1109.9319725557461;Line 38;0;216.983533046559
-23.061660756;-46.2420137;1181.3;69570;129.09630360205824;1109.8763036020582;Line 38;0;216.983533046559
-23.061875799;-46.24219183;1187.5;69540;129.04063464837043;1109.8206346483703;Line 38;0;216.983533046559
-23.062090841;-46.242369962;1192.0;69510;128.98496569468261;1109.7649656946826;Line 38;0;216.983533046559
-23.062305883;-46.242548094;1195.0;69480;128.9292967409948;1109.709296740995;Line 38;0;216.983533046559
-23.062520925;-46.242726226;1196.4;69450;128.873627787307;1109.653627787307;Line 38;0;216.983533046559
-23.062735967;-46.242904359;1194.6;69420;128.81795883361914;1109.597958833619;Line 38;0;216.983533046559
