latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle
-23.335598297;-47.297448541;617.0;69960;363.78;981.78;Line 291;0;109.974801456471
-23.335694839;-47.297174543;618.2;69930;363.6240051457976;981.6240051457976;Line 291;0;109.974801456471
-23.335791381;-47.296900545;619.3;69900;363.46801029159514;981.4680102915952;Line 291;0;109.974801456471
-23.335887922;-47.296626547;620.5;69870;363.31201543739274;981.3120154373928;Line 291;0;109.974801456471
-23.335984463;-47.296352548;621.3;69840;363.1560205831904;981.1560205831904;Line 291;0;109.974801456471
-23.336081003;-47.296078548;622.0;69810;363.00002572898796;981.000025728988;Line 291;0;109.974801456471
-23.336177542;-47.295804548;622.7;69780;362.8440308747856;980.8440308747856;Line 291;0;109.974801456471
-23.336274082;-47.295530548;624.9;69750;362.6880360205831;980.6880360205831;Line 291;0;109.974801456471
-23.336370621;-47.295256547;626.9;69720;362.53204116638074;980.5320411663807;Line 291;0;109.974801456471
-23.336467159;-47.294982546;628.6;69690;362.3760463121784;980.3760463121785;Line 291;0;109.974801456471
-23.336563697;-47.294708545;630.9;69660;362.22005145797596;980.220051457976;Line 291;0;109.974801456471
-23.336660234;-47.294434543;633.1;69630;362.06405660377357;980.0640566037736;Line 291;0;109.974801456471
-23.336756771;-47.29416054;635.6;69600;361.9080617495711;979.9080617495711;Line 291;0;109.974801456471
-23.336853308;-47.293886537;637.1;69570;361.7520668953687;979.7520668953687;Line 291;0;109.974801456471
-23.336949844;-47.293612534;638.5;69540;361.5960720411664;979.5960720411664;Line 291;0;109.974801456471
-23.33704638;-47.29333853;639.8;69510;361.44007718696395;979.4400771869639;Line 291;0;109.974801456471
-23.337142915;-47.293064526;641.7;69480;361.28408233276156;979.2840823327615;Line 291;0;109.974801456471
-23.33723945;-47.292790521;643.3;69450;361.1280874785591;979.1280874785591;Line 291;0;109.974801456471
-23.337335984;-47.292516516;644.7;69420;360.9720926243567;978.9720926243567;Line 291;0;109.974801456471
-23.337432518;-47.292242511;645.5;69390;360.8160977701544;978.8160977701543;Line 291;0;109.974801456471
-23.337529051;-47.291968505;646.3;69360;360.66010291595194;978.6601029159519;Line 291;0;109.974801456471
-23.337625584;-47.291694498;647.1;69330;360.50410806174955;978.5041080617495;Line 291;0;109.974801456471
-23.337722117;-47.291420492;646.1;69300;360.3481132075471;978.3481132075472;Line 291;0;109.974801456471
-23.337818649;-47.291146484;644.9;69270;360.1921183533447;978.1921183533448;Line 291;0;109.974801456471
-23.337915181;-47.290872477;643.7;69240;360.0361234991424;978.0361234991424;Line 291;0;109.974801456471
-23.338011712;-47.290598469;641.5;69210;359.88012864493993;977.88012864494;Line 291;0;109.974801456471
-23.338108243;-47.29032446;639.0;69180;359.72413379073754;977.7241337907376;Line 291;0;109.974801456471
-23.338204773;-47.290050451;636.5;69150;359.5681389365351;977.5681389365351;Line 291;0;109.974801456471
-23.338301303;-47.289776442;633.9;69120;359.4121440823327;977.4121440823327;Line 291;0;109.974801456471
-23.338397832;-47.289502432;631.2;69090;359.25614922813037;977.2561492281304;Line 291;0;109.974801456471
-23.338494361;-47.289228421;628.7;69060;359.1001543739279;977.1001543739279;Line 291;0;109.974801456471
-23.338590889;-47.288954411;629.1;69030;358.94415951972553;976.9441595197255;Line 291;0;109.974801456471
-23.338687417;-47.2886804;630.6;69000;358.7881646655231;976.788164665523;Line 291;0;109.974801456471
-23.338783945;-47.288406388;632.3;68970;358.63216981132075;976.6321698113208;Line 291;0;109.974801456471
-23.338880472;-47.288132376;634.6;68940;358.47617495711836;976.4761749571184;Line 291;0;109.974801456471
-23.338976999;-47.287858363;637.3;68910;358.3201801029159;976.3201801029159;Line 291;0;109.974801456471
-23.339073525;-47.287584351;640.3;68880;358.1641852487135;976.1641852487135;Line 291;0;109.974801456471
-23.339170051;-47.287310337;642.2;68850;358.0081903945111;976.0081903945111;Line 291;0;109.974801456471
-23.339266576;-47.287036323;643.1;68820;357.85219554030874;975.8521955403087;Line 291;0;109.974801456471
-23.339363101;-47.286762309;644.0;68790;357.69620068610635;975.6962006861063;Line 291;0;109.974801456471
-23.339459626;-47.286488295;644.6;68760;357.5402058319039;975.5402058319039;Line 291;0;109.974801456471
