latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle
-24.016296881;-47.132102745;692.2;69960;288.5799999999999;981.78;Line 224;0;43.0130786959569
-24.016101686;-47.131898387;690.8;69930;288.45625214408227;981.6562521440824;Line 224;0;43.0130786959569
-24.015906491;-47.13169403;687.8;69900;288.3325042881646;981.5325042881647;Line 224;0;43.0130786959569
-24.015711295;-47.131489674;690.8;69870;288.2087564322469;981.408756432247;Line 224;0;43.0130786959569
-24.0155161;-47.131285317;694.1;69840;288.08500857632924;981.2850085763293;Line 224;0;43.0130786959569
-24.015320904;-47.131080962;695.2;69810;287.9612607204116;981.1612607204116;Line 224;0;43.0130786959569
-24.015125707;-47.130876607;694.2;69780;287.83751286449393;981.0375128644939;Line 224;0;43.0130786959569
-24.01493051;-47.130672253;696.2;69750;287.7137650085763;980.9137650085763;Line 224;0;43.0130786959569
-24.014735313;-47.1304679;702.4;69720;287.59001715265856;980.7900171526586;Line 224;0;43.0130786959569
-24.014540116;-47.130263547;709.6;69690;287.4662692967409;980.6662692967409;Line 224;0;43.0130786959569
-24.014344918;-47.130059194;717.9;69660;287.34252144082325;980.5425214408233;Line 224;0;43.0130786959569
-24.01414972;-47.129854843;728.6;69630;287.2187735849056;980.4187735849057;Line 224;0;43.0130786959569
-24.013954522;-47.129650492;737.2;69600;287.09502572898793;980.295025728988;Line 224;0;43.0130786959569
-24.013759323;-47.129446141;744.7;69570;286.9712778730702;980.1712778730703;Line 224;0;43.0130786959569
-24.013564125;-47.129241791;751.2;69540;286.8475300171526;980.0475300171527;Line 224;0;43.0130786959569
-24.013368925;-47.129037442;755.8;69510;286.7237821612349;979.923782161235;Line 224;0;43.0130786959569
-24.013173726;-47.128833093;751.5;69480;286.60003430531725;979.8000343053172;Line 224;0;43.0130786959569
-24.012978526;-47.128628745;745.5;69450;286.4762864493996;979.6762864493996;Line 224;0;43.0130786959569
-24.012783325;-47.128424398;739.7;69420;286.3525385934819;979.5525385934819;Line 224;0;43.0130786959569
-24.012588125;-47.128220051;732.6;69390;286.2287907375643;979.4287907375643;Line 224;0;43.0130786959569
-24.012392924;-47.128015705;730.5;69360;286.10504288164657;979.3050428816466;Line 224;0;43.0130786959569
-24.012197723;-47.12781136;733.2;69330;285.9812950257289;979.181295025729;Line 224;0;43.0130786959569
-24.012002521;-47.127607015;736.8;69300;285.85754716981126;979.0575471698113;Line 224;0;43.0130786959569
-24.01180732;-47.127402671;742.6;69270;285.73379931389354;978.9337993138936;Line 224;0;43.0130786959569
-24.011612117;-47.127198327;751.1;69240;285.61005145797594;978.810051457976;Line 224;0;43.0130786959569
-24.011416915;-47.126993984;761.0;69210;285.48630360205823;978.6863036020583;Line 224;0;43.0130786959569
-24.011221712;-47.126789641;771.0;69180;285.3625557461406;978.5625557461406;Line 224;0;43.0130786959569
-24.011026509;-47.1265853;777.8;69150;285.2388078902229;978.438807890223;Line 224;0;43.0130786959569
-24.010831306;-47.126380959;779.5;69120;285.11506003430526;978.3150600343054;Line 224;0;43.0130786959569
-24.010636102;-47.126176618;778.7;69090;284.9913121783876;978.1913121783876;Line 224;0;43.0130786959569
-24.010440898;-47.125972278;778.2;69060;284.8675643224699;978.0675643224699;Line 224;0;43.0130786959569
-24.010245693;-47.125767939;778.9;69030;284.74381646655223;977.9438164665523;Line 224;0;43.0130786959569
-24.010050489;-47.1255636;782.1;69000;284.6200686106346;977.8200686106346;Line 224;0;43.0130786959569
-24.009855283;-47.125359262;784.5;68970;284.4963207547169;977.6963207547169;Line 224;0;43.0130786959569
-24.009660078;-47.125154925;786.5;68940;284.37257289879926;977.5725728987993;Line 224;0;43.0130786959569
-24.009464872;-47.124950588;788.3;68910;284.24882504288155;977.4488250428816;Line 224;0;43.0130786959569
-24.009269666;-47.124746251;788.9;68880;284.1250771869639;977.3250771869639;Line 224;0;43.0130786959569
-24.00907446;-47.124541916;789.7;68850;284.00132933104624;977.2013293310463;Line 224;0;43.0130786959569
-24.008879253;-47.124337581;791.7;68820;283.8775814751286;977.0775814751287;Line 224;0;43.0130786959569
-24.008684046;-47.124133247;795.3;68790;283.7538336192109;976.953833619211;Line 224;0;43.0130786959569
-24.008488839;-47.123928913;801.7;68760;283.6300857632932;976.8300857632933;Line 224;0;43.0130786959569
-24.008293632;-47.12372458;804.8;68730;283.50633790737555;976.7063379073757;Line 224;0;43.0130786959569
-24.008098424;-47.123520247;800.3;68700;283.3825900514579;976.5825900514579;Line 224;0;43.0130786959569
-24.007903215;-47.123315915;794.5;68670;283.25884219554024;976.4588421955402;Line 224;0;43.0130786959569
-24.007708007;-47.123111584;788.3;68640;283.1350943396226;976.3350943396226;Line 224;0;43.0130786959569
-24.007512798;-47.122907253;782.7;68610;283.01134648370487;976.2113464837049;Line 224;0;43.0130786959569
-24.007317589;-47.122702923;781.0;68580;282.8875986277872;976.0875986277872;Line 224;0;43.0130786959569
-24.007122379;-47.122498594;780.9;68550;282.7638507718696;975.9638507718696;Line 224;0;43.0130786959569
-24.006927169;-47.122294265;779.4;68520;282.6401029159519;975.840102915952;Line 224;0;43.0130786959569
-24.006731959;-47.122089937;780.1;68490;282.51635506003424;975.7163550600343;Line 224;0;43.0130786959569
-24.006536749;-47.12188561;784.4;68460;282.39260720411653;975.5926072041166;Line 224;0;43.0130786959569
-24.006341538;-47.121681283;788.7;68430;282.2688593481989;975.468859348199;Line 224;0;43.0130786959569
-24.006146327;-47.121476956;789.1;68400;282.1451114922813;975.3451114922814;Line 224;0;43.0130786959569
-24.005951115;-47.121272631;788.5;68370;282.02136363636356;975.2213636363635;Line 224;0;43.0130786959569
-24.005755903;-47.121068306;787.4;68340;281.8976157804459;975.097615780446;Line 224;0;43.0130786959569
-24.005560691;-47.120863981;787.8;68310;281.7738679245282;974.9738679245282;Line 224;0;43.0130786959569
-24.005365479;-47.120659657;797.7;68280;281.65012006861053;974.8501200686105;Line 224;0;43.0130786959569
-24.005170266;-47.120455334;809.4;68250;281.52637221269293;974.7263722126929;Line 224;0;43.0130786959569
-24.004975053;-47.120251011;821.1;68220;281.4026243567752;974.6026243567753;Line 224;0;43.0130786959569
-24.00477984;-47.12004669;828.5;68190;281.27887650085756;974.4788765008576;Line 224;0;43.0130786959569
-24.004584626;-47.119842368;828.6;68160;281.15512864493985;974.3551286449399;Line 224;0;43.0130786959569
-24.004389412;-47.119638047;825.7;68130;281.03138078902225;974.2313807890223;Line 224;0;43.0130786959569
-24.004194198;-47.119433727;821.2;68100;280.9076329331046;974.1076329331047;Line 224;0;43.0130786959569
-24.003998983;-47.119229408;814.0;68070;280.7838850771869;973.9838850771869;Line 224;0;43.0130786959569
-24.003803768;-47.119025089;805.8;68040;280.6601372212692;973.8601372212693;Line 224;0;43.0130786959569
-24.003608553;-47.118820771;796.8;68010;280.5363893653515;973.7363893653516;Line 224;0;43.0130786959569
-24.003413337;-47.118616453;787.9;67980;280.4126415094339;973.612641509434;Line 224;0;43.0130786959569
-24.003218121;-47.118412136;777.2;67950;280.28889365351625;973.4888936535162;Line 224;0;43.0130786959569
-24.003022905;-47.11820782;767.0;67920;280.16514579759854;973.3651457975986;Line 224;0;43.0130786959569
-24.002827688;-47.118003504;757.8;67890;280.0413979416809;973.2413979416809;Line 224;0;43.0130786959569
-24.002632471;-47.117799189;748.8;67860;279.91765008576317;973.1176500857632;Line 224;0;43.0130786959569
-24.002437254;-47.117594874;740.6;67830;279.79390222984557;972.9939022298456;Line 224;0;43.0130786959569
-24.002242037;-47.11739056;735.6;67800;279.6701543739279;972.870154373928;Line 224;0;43.0130786959569
-24.002046819;-47.117186247;733.2;67770;279.5464065180102;972.7464065180102;Line 224;0;43.0130786959569
-24.001851601;-47.116981934;732.7;67740;279.42265866209254;972.6226586620926;Line 224;0;43.0130786959569
-24.001656382;-47.116777622;734.4;67710;279.2989108061749;972.498910806175;Line 224;0;43.0130786959569
-24.001461163;-47.116573311;745.5;67680;279.17516295025723;972.3751629502573;Line 224;0;43.0130786959569
-24.001265944;-47.116369;757.8;67650;279.0514150943396;972.2514150943396;Line 224;0;43.0130786959569
-24.001070725;-47.11616469;770.7;67620;278.92766723842186;972.127667238422;Line 224;0;43.0130786959569
-24.000875505;-47.11596038;784.3;67590;278.8039193825042;972.0039193825043;Line 224;0;43.0130786959569
-24.000680285;-47.115756071;792.2;67560;278.68017152658655;971.8801715265865;Line 224;0;43.0130786959569
-24.000485064;-47.115551763;794.7;67530;278.5564236706689;971.7564236706689;Line 224;0;43.0130786959569
-24.000289844;-47.115347455;795.6;67500;278.43267581475124;971.6326758147513;Line 224;0;43.0130786959569
-24.000094622;-47.115143148;794.8;67470;278.3089279588335;971.5089279588335;Line 224;0;43.0130786959569
-23.999899401;-47.114938841;788.2;67440;278.18518010291587;971.3851801029159;Line 224;0;43.0130786959569
-23.999704179;-47.114734536;776.0;67410;278.0614322469982;971.2614322469983;Line 224;0;43.0130786959569
-23.999508957;-47.11453023;764.3;67380;277.93768439108055;971.1376843910806;Line 224;0;43.0130786959569
-23.999313735;-47.114325926;753.2;67350;277.8139365351629;971.0139365351629;Line 224;0;43.0130786959569
-23.999118512;-47.114121622;746.2;67320;277.6901886792452;970.8901886792453;Line 224;0;43.0130786959569
-23.998923289;-47.113917318;751.3;67290;277.5664408233275;970.7664408233276;Line 224;0;43.0130786959569
-23.998728066;-47.113713015;756.9;67260;277.44269296740987;970.6426929674099;Line 224;0;43.0130786959569
-23.998532842;-47.113508713;763.1;67230;277.3189451114922;970.5189451114923;Line 224;0;43.0130786959569
-23.998337618;-47.113304412;770.3;67200;277.19519725557456;970.3951972555747;Line 224;0;43.0130786959569
-23.998142394;-47.113100111;778.5;67170;277.07144939965684;970.2714493996568;Line 224;0;43.0130786959569
-23.99794717;-47.112895811;782.9;67140;276.94770154373924;970.1477015437392;Line 224;0;43.0130786959569
-23.997751945;-47.112691511;783.3;67110;276.82395368782153;970.0239536878216;Line 224;0;43.0130786959569
-23.997556719;-47.112487212;779.7;67080;276.7002058319039;969.9002058319039;Line 224;0;43.0130786959569
-23.997361494;-47.112282913;772.2;67050;276.5764579759862;969.7764579759862;Line 224;0;43.0130786959569
-23.997166268;-47.112078616;765.6;67020;276.4527101200685;969.6527101200686;Line 224;0;43.0130786959569
-23.996971042;-47.111874318;760.0;66990;276.3289622641509;969.528962264151;Line 224;0;43.0130786959569
-23.996775815;-47.111670022;755.3;66960;276.2052144082332;969.4052144082332;Line 224;0;43.0130786959569
-23.996580588;-47.111465726;758.7;66930;276.08146655231553;969.2814665523156;Line 224;0;43.0130786959569
-23.996385361;-47.11126143;766.1;66900;275.9577186963979;969.157718696398;Line 224;0;43.0130786959569
-23.996190134;-47.111057136;775.0;66870;275.83397084048016;969.0339708404802;Line 224;0;43.0130786959569
-23.995994906;-47.110852842;785.4;66840;275.71022298456256;968.9102229845626;Line 224;0;43.0130786959569
-23.995799678;-47.110648548;792.8;66810;275.58647512864485;968.786475128645;Line 224;0;43.0130786959569
-23.995604449;-47.110444255;795.2;66780;275.4627272727272;968.6627272727272;Line 224;0;43.0130786959569
-23.995409221;-47.110239963;798.9;66750;275.33897941680954;968.5389794168095;Line 224;0;43.0130786959569
-23.995213992;-47.110035671;803.9;66720;275.2152315608919;968.4152315608919;Line 224;0;43.0130786959569
-23.995018762;-47.10983138;805.7;66690;275.0914837049742;968.2914837049743;Line 224;0;43.0130786959569
-23.994823533;-47.10962709;802.6;66660;274.9677358490565;968.1677358490565;Line 224;0;43.0130786959569
-23.994628302;-47.1094228;802.3;66630;274.84398799313885;968.0439879931389;Line 224;0;43.0130786959569
-23.994433072;-47.109218511;805.5;66600;274.7202401372212;967.9202401372213;Line 224;0;43.0130786959569
-23.994237841;-47.109014222;810.0;66570;274.59649228130354;967.7964922813036;Line 224;0;43.0130786959569
-23.99404261;-47.108809934;813.2;66540;274.4727444253859;967.6727444253859;Line 224;0;43.0130786959569
-23.993847379;-47.108605647;815.1;66510;274.3489965694682;967.5489965694683;Line 224;0;43.0130786959569
-23.993652148;-47.10840136;816.4;66480;274.2252487135505;967.4252487135506;Line 224;0;43.0130786959569
-23.993456916;-47.108197074;815.8;66450;274.10150085763286;967.3015008576328;Line 224;0;43.0130786959569
-23.993261683;-47.107992789;811.5;66420;273.9777530017152;967.1777530017152;Line 224;0;43.0130786959569
-23.993066451;-47.107788504;802.4;66390;273.85400514579754;967.0540051457976;Line 224;0;43.0130786959569
-23.992871218;-47.10758422;793.4;66360;273.7302572898799;966.9302572898799;Line 224;0;43.0130786959569
-23.992675985;-47.107379936;787.4;66330;273.6065094339622;966.8065094339622;Line 224;0;43.0130786959569
-23.992480751;-47.107175653;787.0;66300;273.4827615780445;966.6827615780446;Line 224;0;43.0130786959569
-23.992285517;-47.106971371;796.1;66270;273.35901372212686;966.5590137221269;Line 224;0;43.0130786959569
-23.992090283;-47.106767089;806.2;66240;273.2352658662092;966.4352658662092;Line 224;0;43.0130786959569
-23.991895048;-47.106562808;815.5;66210;273.11151801029155;966.3115180102916;Line 224;0;43.0130786959569
-23.991699814;-47.106358528;822.1;66180;272.98777015437383;966.1877701543739;Line 224;0;43.0130786959569
-23.991504578;-47.106154248;821.5;66150;272.86402229845623;966.0640222984563;Line 224;0;43.0130786959569
-23.991309343;-47.105949968;819.7;66120;272.7402744425385;965.9402744425386;Line 224;0;43.0130786959569
-23.991114107;-47.10574569;817.0;66090;272.61652658662086;965.816526586621;Line 224;0;43.0130786959569
-23.990918871;-47.105541412;814.1;66060;272.4927787307032;965.6927787307033;Line 224;0;43.0130786959569
-23.990723635;-47.105337134;812.1;66030;272.3690308747855;965.5690308747855;Line 224;0;43.0130786959569
-23.990528398;-47.105132857;810.4;66000;272.2452830188679;965.4452830188679;Line 224;0;43.0130786959569
-23.990333161;-47.104928581;807.1;65970;272.1215351629502;965.3215351629502;Line 224;0;43.0130786959569
-23.990137923;-47.104724306;799.8;65940;271.9977873070325;965.1977873070325;Line 224;0;43.0130786959569
-23.989942686;-47.104520031;794.6;65910;271.87403945111487;965.0740394511149;Line 224;0;43.0130786959569
-23.989747448;-47.104315757;792.4;65880;271.75029159519715;964.9502915951972;Line 224;0;43.0130786959569
-23.989552209;-47.104111483;790.8;65850;271.62654373927955;964.8265437392796;Line 224;0;43.0130786959569
-23.989356971;-47.10390721;788.7;65820;271.50279588336184;964.7027958833619;Line 224;0;43.0130786959569
-23.989161732;-47.103702937;785.1;65790;271.3790480274442;964.5790480274443;Line 224;0;43.0130786959569
-23.988966492;-47.103498665;777.1;65760;271.2553001715265;964.4553001715266;Line 224;0;43.0130786959569
-23.988771253;-47.103294394;770.1;65730;271.1315523156089;964.3315523156089;Line 224;0;43.0130786959569
-23.988576013;-47.103090124;766.1;65700;271.0078044596912;964.2078044596913;Line 224;0;43.0130786959569
-23.988380772;-47.102885854;760.6;65670;270.8840566037735;964.0840566037735;Line 224;0;43.0130786959569
-23.988185532;-47.102681584;758.3;65640;270.76030874785585;963.9603087478558;Line 224;0;43.0130786959569
-23.987990291;-47.102477315;757.8;65610;270.6365608919382;963.8365608919382;Line 224;0;43.0130786959569
-23.98779505;-47.102273047;758.0;65580;270.51281303602053;963.7128130360206;Line 224;0;43.0130786959569
-23.987599808;-47.10206878;756.4;65550;270.3890651801029;963.5890651801029;Line 224;0;43.0130786959569
-23.987404566;-47.101864513;756.2;65520;270.26531732418516;963.4653173241852;Line 224;0;43.0130786959569
-23.987209324;-47.101660247;758.9;65490;270.1415694682675;963.3415694682676;Line 224;0;43.0130786959569
-23.987014081;-47.101455981;759.2;65460;270.01782161234985;963.2178216123499;Line 224;0;43.0130786959569
-23.986818839;-47.101251716;756.6;65430;269.8940737564322;963.0940737564322;Line 224;0;43.0130786959569
-23.986623595;-47.101047452;750.8;65400;269.77032590051454;962.9703259005146;Line 224;0;43.0130786959569
-23.986428352;-47.100843188;743.6;65370;269.6465780445968;962.8465780445969;Line 224;0;43.0130786959569
-23.986233108;-47.100638925;741.2;65340;269.52283018867917;962.7228301886792;Line 224;0;43.0130786959569
-23.986037864;-47.100434662;738.7;65310;269.3990823327615;962.5990823327616;Line 224;0;43.0130786959569
-23.98584262;-47.1002304;736.0;65280;269.27533447684385;962.475334476844;Line 224;0;43.0130786959569
-23.985647375;-47.100026139;732.2;65250;269.1515866209262;962.3515866209262;Line 224;0;43.0130786959569
-23.98545213;-47.099821878;736.4;65220;269.0278387650085;962.2278387650085;Line 224;0;43.0130786959569
-23.985256884;-47.099617618;741.6;65190;268.9040909090908;962.1040909090909;Line 224;0;43.0130786959569
-23.985061639;-47.099413358;746.7;65160;268.7803430531732;961.9803430531733;Line 224;0;43.0130786959569
-23.984866393;-47.0992091;750.7;65130;268.6565951972555;961.8565951972555;Line 224;0;43.0130786959569
-23.984671146;-47.099004841;753.0;65100;268.53284734133786;961.7328473413379;Line 224;0;43.0130786959569
-23.9844759;-47.098800584;754.4;65070;268.40909948542014;961.6090994854202;Line 224;0;43.0130786959569
-23.984280653;-47.098596327;755.1;65040;268.2853516295025;961.4853516295025;Line 224;0;43.0130786959569
-23.984085405;-47.09839207;756.1;65010;268.1616037735849;961.3616037735849;Line 224;0;43.0130786959569
-23.983890158;-47.098187815;758.8;64980;268.0378559176672;961.2378559176673;Line 224;0;43.0130786959569
-23.98369491;-47.097983559;761.9;64950;267.9141080617495;961.1141080617496;Line 224;0;43.0130786959569
-23.983499662;-47.097779305;765.3;64920;267.7903602058318;960.9903602058318;Line 224;0;43.0130786959569
-23.983304413;-47.097575051;768.7;64890;267.66661234991415;960.8666123499142;Line 224;0;43.0130786959569
-23.983109164;-47.097370798;767.2;64860;267.54286449399655;960.7428644939966;Line 224;0;43.0130786959569
-23.982913915;-47.097166545;765.8;64830;267.41911663807883;960.6191166380788;Line 224;0;43.0130786959569
