latitude;longitude;altitude (m);distance_m;alt_x;alt_y;name;obstrucao;angle
-23.084737608;-47.108333367;711.5;69960;269.28;981.78;Line 319;0;137.9660496836
-23.084941373;-47.108140508;709.4;69930;269.1645283018868;981.6645283018868;Line 319;0;137.9660496836
-23.085145139;-47.107947649;707.7;69900;269.0490566037735;981.5490566037736;Line 319;0;137.9660496836
-23.085348904;-47.107754789;706.0;69870;268.9335849056603;981.4335849056604;Line 319;0;137.9660496836
-23.085552669;-47.107561929;704.2;69840;268.8181132075472;981.3181132075472;Line 319;0;137.9660496836
-23.085756434;-47.107369068;704.0;69810;268.70264150943393;981.202641509434;Line 319;0;137.9660496836
-23.085960198;-47.107176207;704.9;69780;268.58716981132073;981.0871698113208;Line 319;0;137.9660496836
-23.086163963;-47.106983345;705.7;69750;268.4716981132075;980.9716981132075;Line 319;0;137.9660496836
-23.086367727;-47.106790483;706.1;69720;268.3562264150943;980.8562264150943;Line 319;0;137.9660496836
-23.086571491;-47.10659762;706.5;69690;268.24075471698114;980.7407547169812;Line 319;0;137.9660496836
-23.086775255;-47.106404756;706.7;69660;268.1252830188679;980.6252830188679;Line 319;0;137.9660496836
-23.086979018;-47.106211892;706.3;69630;268.0098113207547;980.5098113207547;Line 319;0;137.9660496836
-23.087182782;-47.106019027;705.6;69600;267.89433962264144;980.3943396226414;Line 319;0;137.9660496836
-23.087386545;-47.105826161;704.5;69570;267.77886792452824;980.2788679245282;Line 319;0;137.9660496836
-23.087590308;-47.105633296;703.0;69540;267.6633962264151;980.1633962264151;Line 319;0;137.9660496836
-23.087794071;-47.105440429;701.2;69510;267.54792452830185;980.0479245283018;Line 319;0;137.9660496836
-23.087997833;-47.105247562;698.9;69480;267.43245283018865;979.9324528301886;Line 319;0;137.9660496836
-23.088201596;-47.105054694;696.1;69450;267.3169811320754;979.8169811320754;Line 319;0;137.9660496836
-23.088405358;-47.104861826;692.4;69420;267.20150943396226;979.7015094339622;Line 319;0;137.9660496836
-23.08860912;-47.104668957;689.0;69390;267.08603773584906;979.586037735849;Line 319;0;137.9660496836
-23.088812882;-47.104476088;686.1;69360;266.9705660377358;979.4705660377358;Line 319;0;137.9660496836
-23.089016643;-47.104283218;683.6;69330;266.8550943396226;979.3550943396226;Line 319;0;137.9660496836
-23.089220405;-47.104090347;682.5;69300;266.73962264150936;979.2396226415094;Line 319;0;137.9660496836
-23.089424166;-47.103897476;684.2;69270;266.6241509433962;979.1241509433962;Line 319;0;137.9660496836
-23.089627927;-47.103704604;686.2;69240;266.508679245283;979.008679245283;Line 319;0;137.9660496836
-23.089831688;-47.103511732;688.6;69210;266.39320754716977;978.8932075471698;Line 319;0;137.9660496836
